City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,queenstown,26.8753,-31.8976,283.48,89,100,2.22,ZA,1696901916
177,oamaru,170.9801,-45.0784,286.75,48,53,5.69,NZ,1696902079
178,chonchi,-73.8092,-42.6128,281.55,96,100,1.34,CL,1696902080
179,kenora,-94.4337,49.8167,279.69,56,0,3.09,CA,1696902081
180,bekovo,43.712,52.4663,275.62,96,100,6.87,RU,1696902081
181,vorgashor,63.95,67.5833,274.27,98,100,5.46,RU,1696902082
182,moratalla,-1.8918,38.1893,288.37,80,66,0.25,ES,1696902083
183,durant,-96.3708,33.994,297.88,56,0,0.0,US,1696902083
184,edd,41.6925,13.9297,303.84,67,47,2.18,ER,1696902084
185,oshawa,-78.8496,43.9001,283.38,61,100,5.14,CA,1696902085
186,celestun,-90.4,20.8667,299.91,87,96,4.89,MX,1696902086
187,petropavlovsk-kamchatsky,158.6483,53.0452,281.48,71,75,3.13,RU,1696901801
188,jamestown,-79.2353,42.097,281.32,87,100,4.12,US,1696901856
189,walvis bay,14.5053,-22.9575,287.68,88,82,2.57,NA,1696902088
190,lompoc,-120.4579,34.6391,291.49,81,0,6.69,US,1696902088
191,santa ana,-117.8678,33.7456,300.04,74,40,3.6,US,1696902088
192,anadyr,177.4833,64.75,273.43,80,100,1.0,RU,1696902090
193,san patricio,-97.5169,28.017,298.06,72,100,2.26,US,1696901903
194,port saint john's,29.5448,-31.6229,290.26,88,100,4.71,ZA,1696902091
195,remire-montjoly,-52.2667,4.9167,296.17,94,0,0.0,GF,1696901875
196,shiyan,110.7781,32.6475,291.81,76,100,1.16,CN,1696902047
197,alto barinas,-70.2261,8.5931,297.37,90,100,2.13,VE,1696902093
198,ampanihy,44.75,-24.7,291.31,96,41,2.92,MG,1696902094
199,kingscliff,153.5667,-28.2667,298.68,53,7,6.69,AU,1696902095
200,callao,-77.15,-12.0667,292.44,77,100,5.14,PE,1696902095
201,tiksi,128.8694,71.6872,264.41,93,97,3.41,RU,1696901838
202,kiama,150.8667,-34.6833,291.73,80,87,3.43,AU,1696902097
203,richards bay,32.0377,-28.783,292.93,90,100,1.64,ZA,1696902098
204,cabo san lucas,-109.9124,22.8909,302.32,83,100,4.02,MX,1696902098
205,amungan,119.9582,15.3652,303.18,67,85,1.7,PH,1696902099
206,sa kaeo,102.3333,13.75,298.75,89,97,1.82,TH,1696902100
207,marka,44.7717,1.7159,298.42,82,77,5.25,SO,1696902100
208,lake city,-82.6393,30.1897,289.07,82,0,0.0,US,1696902101
209,thompson,-97.8558,55.7435,278.24,81,20,1.03,CA,1696902102
210,harper,-7.7169,4.375,298.16,89,100,2.3,LR,1696901889
211,baglung,83.5898,28.2719,294.71,86,37,0.67,NP,1696902103
212,vrangel',133.0839,42.7297,289.82,53,5,4.76,RU,1696902104
